,0
0,2.9169280529022217
1,2.9051883220672607
2,2.850175619125366
3,2.903857707977295
4,2.9503536224365234
5,2.8746371269226074
6,2.906287908554077
7,2.8669538497924805
8,2.9134562015533447
9,2.9411919116973877
10,2.904249906539917
11,2.848381996154785
12,2.902644395828247
13,2.949042320251465
14,2.971137046813965
15,2.8024516105651855
16,2.862675428390503
17,2.8184540271759033
18,2.9568021297454834
19,2.950484275817871
20,2.8983330726623535
21,2.9493343830108643
22,2.9593894481658936
23,2.9172134399414062
24,2.902845621109009
25,2.9451591968536377
26,2.843155860900879
27,2.9454104900360107
28,2.901991844177246
29,2.906655788421631
30,2.852945566177368
31,2.893620491027832
32,2.9030797481536865
33,2.9635210037231445
34,2.898960828781128
35,2.9095242023468018
36,2.908724784851074
37,2.880605459213257
38,2.9141337871551514
39,2.9571692943573
40,2.8982787132263184
41,2.8585121631622314
42,2.9012973308563232
43,2.9618194103240967
44,2.903895378112793
45,2.950948715209961
46,2.937760353088379
47,2.8572092056274414
48,2.9574670791625977
49,2.9030232429504395
50,2.8969781398773193
51,2.905454635620117
52,2.904006242752075
53,2.951538562774658
54,2.9075193405151367
55,2.860340118408203
56,2.8928582668304443
57,2.908386468887329
58,2.858201026916504
59,2.9543230533599854
60,2.9050536155700684
61,2.906109094619751
62,2.956981658935547
63,2.811903476715088
64,2.9576401710510254
65,2.8547143936157227
66,2.964291572570801
67,2.919407844543457
68,2.9675545692443848
69,2.89512038230896
70,2.853915214538574
71,2.890495777130127
72,2.855166435241699
73,2.9607114791870117
74,2.906752109527588
75,2.865286111831665
76,2.915337085723877
77,2.9548981189727783
78,2.9075942039489746
79,2.9494829177856445
80,2.9557743072509766
81,2.857245922088623
82,2.802945375442505
83,2.9012110233306885
84,2.9597792625427246
85,2.9050333499908447
86,2.959632396697998
87,2.851306915283203
88,2.9608452320098877
89,2.9559319019317627
90,2.855963945388794
91,2.8699491024017334
92,2.895413398742676
93,2.9060144424438477
94,2.956242561340332
95,2.899294853210449
96,2.9074151515960693
97,2.9124696254730225
98,2.8594095706939697
99,2.8531737327575684
100,2.854975938796997
101,2.904463291168213
102,2.9544034004211426
103,2.9192421436309814
104,2.909205198287964
105,2.952249050140381
106,2.904290199279785
107,2.9121041297912598
108,2.8458263874053955
109,2.9067907333374023
110,2.9476230144500732
111,2.8963449001312256
112,2.9060583114624023
113,2.959228515625
114,2.959233283996582
115,2.9582135677337646
116,2.9533185958862305
117,2.9053149223327637
118,2.904893398284912
119,2.9620790481567383
120,2.949753522872925
